@relation 'IM_auto-status_intelligibility-weka.filters.unsupervised.attribute.Remove-R105-118,121-weka.filters.unsupervised.attribute.Remove-R106-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute timeSinceLastOMsg numeric
@attribute log(lastOMsg) numeric
@attribute KBCountFeature(60) numeric
@attribute log(KBCountFeature(60)) numeric
@attribute KBCountFeature(30) numeric
@attribute log(KBCountFeature(30)) numeric
@attribute Focus {'out of focus','in focus'}
@attribute UserInputCountFeature(120) numeric
@attribute log(UserInputCountFeature(120)) numeric
@attribute _future_respondedWithin(60) {0,1}

@data
7,0.90309,160,2.206826,114,2.060698,'out of focus',212,2.32838,1
15,1.20412,178,2.252853,64,1.812913,'out of focus',276,2.44248,1
5,0.778151,145,2.164353,81,1.913814,'out of focus',309,2.491362,1
8,0.954243,100,2.004321,55,1.748188,'out of focus',356,2.552668,1
11,1.079181,99,2,18,1.278754,'out of focus',501,2.700704,1
4,0.69897,95,1.982271,33,1.531479,'out of focus',616,2.790285,0
10,1.041393,163,2.214844,80,1.908485,'out of focus',635,2.803457,1
24,1.39794,74,1.875061,3,0.60206,'out of focus',886,2.947924,0
94,1.977724,0,0,0,0,'out of focus',772,2.888179,0
106,2.029384,0,0,0,0,'out of focus',623,2.795185,0
114,2.060698,0,0,0,0,'out of focus',170,2.232996,0
133,2.127105,0,0,0,0,'out of focus',1,0.30103,0
139,2.146128,0,0,0,0,'out of focus',1,0.30103,0
210,2.324282,0,0,0,0,'out of focus',1,0.30103,0
277,2.444045,0,0,0,0,'out of focus',0,0,0
315,2.499687,0,0,0,0,'out of focus',0,0,0
3,0.60206,38,1.591065,38,1.591065,'out of focus',9588,3.981773,1
12,1.113943,38,1.591065,38,1.591065,'out of focus',9321,3.969509,1
3,0.60206,119,2.079181,81,1.913814,'out of focus',8983,3.95347,1
6,0.845098,104,2.021189,95,1.982271,'out of focus',8884,3.948657,1
16,1.230449,198,2.298853,141,2.152288,'out of focus',1350,3.130655,1
2,0.477121,264,2.423246,131,2.120574,'out of focus',1579,3.198657,1
20,1.322219,210,2.324282,81,1.913814,'out of focus',2361,3.37328,1
9,1,131,2.120574,93,1.973128,'out of focus',2191,3.340841,1
11,1.079181,127,2.10721,86,1.939519,'out of focus',2032,3.308137,1
4,0.69897,130,2.117271,35,1.556303,'out of focus',2074,3.317018,1
11,1.079181,122,2.089905,35,1.556303,'out of focus',2124,3.327359,1
41,1.623249,50,1.70757,36,1.568202,'out of focus',2620,3.418467,0
5,0.778151,152,2.184691,86,1.939519,'out of focus',2534,3.403978,0
36,1.568202,86,1.939519,0,0,'out of focus',1791,3.253338,0
51,1.716003,33,1.531479,0,0,'out of focus',1213,3.084219,0
86,1.939519,0,0,0,0,'out of focus',2391,3.378761,0
26,1.431364,174,2.243038,38,1.591065,'out of focus',1935,3.286905,1
34,1.544068,164,2.217484,6,0.845098,'out of focus',1558,3.192846,1
8,0.954243,123,2.093422,64,1.812913,'out of focus',1308,3.11694,1
4,0.69897,157,2.198657,107,2.033424,'out of focus',838,2.923762,1
13,1.146128,200,2.303196,77,1.892095,'out of focus',332,2.522444,1
14,1.176091,195,2.292256,77,1.892095,'out of focus',327,2.515874,1
28,1.462398,143,2.158362,28,1.462398,'out of focus',256,2.409933,1
15,1.20412,106,2.029384,78,1.897627,'out of focus',312,2.495544,1
3,0.60206,83,1.924279,31,1.50515,'out of focus',312,2.495544,1
6,0.845098,89,1.954243,18,1.278754,'out of focus',300,2.478567,1
1,0.30103,100,2.004321,22,1.361728,'out of focus',390,2.592177,0
12,1.113943,36,1.568202,36,1.568202,'out of focus',426,2.630428,1
3,0.60206,54,1.740363,19,1.30103,'out of focus',444,2.64836,1
12,1.113943,58,1.770852,22,1.361728,'out of focus',633,2.802089,1
4,0.69897,42,1.633468,23,1.380211,'out of focus',880,2.944976,1
7,0.90309,42,1.633468,20,1.322219,'out of focus',922,2.965202,1
12,1.113943,42,1.633468,20,1.322219,'out of focus',952,2.979093,1
20,1.322219,42,1.633468,20,1.322219,'out of focus',951,2.978637,1
24,1.39794,42,1.633468,19,1.30103,'out of focus',951,2.978637,1
32,1.518514,24,1.39794,0,0,'out of focus',951,2.978637,1
1,0.30103,24,1.39794,4,0.69897,'out of focus',831,2.920123,1
4,0.69897,39,1.60206,19,1.30103,'out of focus',732,2.865104,1
7,0.90309,44,1.653213,44,1.653213,'out of focus',570,2.756636,1
24,1.39794,87,1.944483,26,1.431364,'out of focus',590,2.771587,0
15,1.20412,221,2.346353,87,1.944483,'out of focus',617,2.790988,1
28,1.462398,176,2.247973,11,1.079181,'out of focus',659,2.819544,1
2,0.477121,169,2.230449,16,1.230449,'out of focus',667,2.824776,0
34,1.544068,12,1.113943,0,0,'out of focus',3354,3.525693,1
38,1.591065,12,1.113943,0,0,'out of focus',3591,3.555336,1
12,1.113943,46,1.672098,37,1.579784,'out of focus',4179,3.621176,0
10,1.041393,21,1.342423,21,1.342423,'out of focus',5183,3.714665,0
14,1.176091,321,2.507856,148,2.173186,'out of focus',2205,3.343606,1
9,1,261,2.418301,110,2.045323,'out of focus',1270,3.104146,1
4,0.69897,236,2.374748,81,1.913814,'out of focus',908,2.958564,0
13,1.146128,194,2.290035,53,1.732394,'out of focus',1103,3.042969,0
43,1.643453,99,2,0,0,'out of focus',425,2.62941,1
237,2.376577,0,0,0,0,'out of focus',0,0,0
239,2.380211,0,0,0,0,'out of focus',0,0,0
26,1.431364,159,2.20412,18,1.278754,'in focus',846,2.927883,1
39,1.60206,112,2.053078,0,0,'out of focus',997,2.999131,1
47,1.681241,63,1.80618,4,0.69897,'out of focus',1213,3.084219,1
16,1.230449,125,2.100371,79,1.90309,'out of focus',1553,3.191451,0
6,0.845098,234,2.371068,63,1.80618,'out of focus',5708,3.75656,1
4,0.69897,234,2.371068,165,2.220108,'out of focus',5915,3.772028,0
2,0.477121,15,1.20412,5,0.778151,'in focus',4391,3.642662,1
7,0.90309,5,0.778151,5,0.778151,'out of focus',4240,3.627468,1
23,1.380211,100,2.004321,46,1.672098,'out of focus',3754,3.57461,1
29,1.477121,100,2.004321,4,0.69897,'out of focus',3601,3.556544,1
34,1.544068,100,2.004321,0,0,'out of focus',3447,3.537567,1
28,1.462398,73,1.869232,8,0.954243,'out of focus',1801,3.255755,1
31,1.50515,73,1.869232,0,0,'out of focus',1875,3.273233,1
40,1.612784,73,1.869232,0,0,'out of focus',1912,3.281715,1
2,0.477121,68,1.838849,52,1.724276,'out of focus',2081,3.318481,1
10,1.041393,237,2.376577,131,2.120574,'out of focus',2920,3.465532,1
17,1.255273,237,2.376577,89,1.954243,'out of focus',2473,3.3934,1
24,1.39794,1891,3.276921,1705,3.231979,'out of focus',3729,3.571709,1
8,0.954243,1783,3.251395,113,2.056905,'out of focus',3984,3.600428,1
9,1,125,2.100371,12,1.113943,'out of focus',3976,3.599556,1
2,0.477121,129,2.113943,16,1.230449,'out of focus',4341,3.63769,1
5,0.778151,109,2.041393,35,1.556303,'out of focus',7360,3.866937,0
31,1.50515,257,2.41162,99,2,'out of focus',1753,3.24403,1
7,0.90309,243,2.38739,152,2.184691,'out of focus',1431,3.155943,1
4,0.69897,296,2.472756,155,2.193125,'out of focus',1248,3.096562,1
4,0.69897,244,2.389166,90,1.959041,'out of focus',1439,3.158362,1
5,0.778151,244,2.389166,85,1.934498,'out of focus',1463,3.165541,1
0,0,224,2.352183,52,1.724276,'out of focus',1569,3.1959,1
8,0.954243,199,2.30103,64,1.812913,'out of focus',1679,3.225309,1
1,0.30103,190,2.281033,73,1.869232,'out of focus',1621,3.210051,1
0,0,190,2.281033,73,1.869232,'out of focus',1621,3.210051,1
3,0.60206,173,2.240549,63,1.80618,'out of focus',1513,3.180126,1
1,0.30103,171,2.235528,99,2,'out of focus',1323,3.121888,1
11,1.079181,164,2.217484,102,2.012837,'out of focus',1196,3.078094,1
14,1.176091,153,2.187521,81,1.913814,'out of focus',1176,3.070776,1
2,0.477121,171,2.235528,72,1.863323,'out of focus',965,2.984977,1
5,0.778151,176,2.247973,66,1.826075,'out of focus',960,2.982723,1
5,0.778151,173,2.240549,31,1.50515,'out of focus',934,2.970812,1
10,1.041393,147,2.170262,31,1.50515,'out of focus',897,2.953276,1
